,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
143,Madagascar,67941,1423.0,66470,48,,2328.0,49.0,528012.0,18096.0,29178077.0,Africa
144,Sudan,63853,5023.0,58538,292,,1388.0,109.0,562941.0,12240.0,45992020.0,Africa
145,Mauritania,63668,997.0,62441,230,,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa
146,Cabo Verde,63252,413.0,62781,58,23,111422.0,728.0,401622.0,707482.0,567678.0,Africa
147,Bhutan,62637,21.0,61564,1052,,79495.0,27.0,2303734.0,2923739.0,787941.0,Asia
148,Syria,57478,3164.0,54314,0,,2968.0,163.0,146269.0,7553.0,19364809.0,Asia
149,Burundi,53661,38.0,53569,54,,4250.0,3.0,345742.0,27386.0,12624840.0,Africa
150,Seychelles,50937,172.0,50750,15,,512311.0,1730.0,,,99426.0,Africa
151,Gabon,48981,306.0,48674,1,,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa
152,Andorra,47898,165.0,47563,170,14,618334.0,2130.0,249838.0,3225256.0,77463.0,Europe
153,Papua New Guinea,46826,670.0,43982,2174,7,5039.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania
154,Curaçao,45986,295.0,44720,971,3,277812.0,1782.0,496693.0,3000640.0,165529.0,North America
155,Aruba,44082,236.0,42438,1408,2,409650.0,2193.0,177885.0,1653068.0,107609.0,North America
156,Tanzania,42927,846.0,N/A,N/A,7,678.0,13.0,,,63298550.0,Africa
157,Mayotte,42004,188.0,N/A,N/A,,146734.0,657.0,176919.0,618038.0,286259.0,Africa
158,Mauritius,41796,1043.0,40080,673,,32788.0,818.0,358675.0,281374.0,1274727.0,Africa
159,Togo,39416,290.0,39095,31,,4541.0,33.0,809142.0,93210.0,8680837.0,Africa
160,Guinea,38267,467.0,37757,43,8,2760.0,34.0,660107.0,47607.0,13865691.0,Africa
161,Isle of Man,38008,116.0,N/A,N/A,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe
162,Bahamas,37491,833.0,36366,292,1,93607.0,2080.0,257839.0,643767.0,400516.0,North America
163,Lesotho,34790,723.0,25980,8087,,15990.0,332.0,431221.0,198199.0,2175699.0,Africa
164,Faeroe Islands,34658,28.0,N/A,N/A,5,703959.0,569.0,778000.0,15802409.0,49233.0,Europe
165,Haiti,34202,860.0,33052,290,,2928.0,74.0,132422.0,11337.0,11680283.0,North America
166,Mali,33074,743.0,32236,95,,1540.0,35.0,798819.0,37200.0,21473764.0,Africa
167,Cayman Islands,31472,37.0,8553,22882,1,467797.0,550.0,222773.0,3311280.0,67277.0,North America
168,Saint Lucia,30004,409.0,29095,500,,162085.0,2209.0,210983.0,1139752.0,185113.0,North America
169,Benin,27999,163.0,27830,6,,2190.0,13.0,604310.0,47268.0,12784726.0,Africa
170,Somalia,27324,1361.0,13182,12781,,1622.0,81.0,400466.0,23778.0,16841795.0,Africa
171,Congo,25375,386.0,24006,983,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa
172,Solomon Islands,24575,153.0,N/A,N/A,1,34077.0,212.0,,,721159.0,Australia/Oceania
173,Micronesia,24195,63.0,N/A,N/A,1,205934.0,536.0,54967.0,467848.0,117489.0,Australia/Oceania
174,San Marino,23663,122.0,23506,35,4,694235.0,3579.0,157634.0,4624732.0,34085.0,Europe
175,Timor-Leste,23419,138.0,23102,179,,17101.0,101.0,278529.0,203391.0,1369429.0,Asia
176,Burkina Faso,22056,396.0,21596,64,,998.0,18.0,248995.0,11265.0,22102838.0,Africa
177,Liechtenstein,21434,89.0,21339,6,4,558366.0,2318.0,112457.0,2929559.0,38387.0,Europe
178,Gibraltar,20462,111.0,16579,3772,,607109.0,3293.0,534283.0,15852213.0,33704.0,Europe
179,Grenada,19680,238.0,19358,84,4,173430.0,2097.0,182981.0,1612523.0,113475.0,North America
180,Bermuda,18836,161.0,18669,6,,304106.0,2599.0,1028644.0,16607372.0,61939.0,North America
181,Nicaragua,18491,225.0,4225,14041,,2728.0,33.0,,,6779100.0,North America
182,South Sudan,18368,138.0,18115,115,1,1581.0,12.0,410280.0,35313.0,11618511.0,Africa
183,Tajikistan,17786,125.0,17264,397,,1786.0,13.0,,,9957464.0,Asia
184,Equatorial Guinea,17229,183.0,16907,139,5,11512.0,122.0,365697.0,244342.0,1496662.0,Africa
185,Tonga,16812,13.0,15638,1161,,156029.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania
186,Samoa,16607,29.0,1605,14973,,82116.0,143.0,187397.0,926612.0,202239.0,Australia/Oceania
187,Monaco,16129,67.0,15992,70,4,405424.0,1684.0,78646.0,1976875.0,39783.0,Europe
188,Dominica,15760,74.0,15673,13,,217848.0,1023.0,229344.0,3170187.0,72344.0,North America
189,Marshall Islands,15723,17.0,15621,85,,261801.0,283.0,,,60057.0,Australia/Oceania
190,Djibouti,15690,189.0,15427,74,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa
191,CAR,15368,113.0,15200,55,2,3063.0,23.0,81294.0,16205.0,5016678.0,Africa
192,Gambia,12598,372.0,12189,37,,4924.0,145.0,155686.0,60851.0,2558482.0,Africa
193,Saint Martin,12271,63.0,1399,10809,7,308860.0,1586.0,112382.0,2828643.0,39730.0,North America
194,Vanuatu,12014,14.0,11976,24,,37330.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania
195,Greenland,11971,21.0,2761,9189,4,210117.0,369.0,164926.0,2894810.0,56973.0,North America
196,Yemen,11945,2159.0,9124,662,23,383.0,69.0,329592.0,10579.0,31154867.0,Asia
197,Caribbean Netherlands,11682,38.0,10476,1168,,438398.0,1426.0,30126.0,1130559.0,26647.0,North America
198,Sint Maarten,11023,91.0,10905,27,N/A,250716.0,2070.0,62056.0,1411454.0,43966.0,North America
199,Eritrea,10189,103.0,10086,0,,2782.0,28.0,23693.0,6470.0,3662244.0,Africa
200,Niger,9931,312.0,8890,729,1,381.0,12.0,254538.0,9759.0,26083660.0,Africa
201,St. Vincent Grenadines,9593,124.0,9466,3,,85997.0,1112.0,113771.0,1019901.0,111551.0,North America
202,Antigua and Barbuda,9106,146.0,8954,6,1,91509.0,1467.0,18901.0,189943.0,99509.0,North America
203,Comoros,9048,161.0,8838,49,,9971.0,177.0,,,907419.0,Africa
204,Guinea-Bissau,8960,176.0,8660,124,6,4342.0,85.0,145231.0,70385.0,2063367.0,Africa
205,Liberia,8090,295.0,7783,12,2,1525.0,56.0,139824.0,26356.0,5305117.0,Africa
206,Sierra Leone,7760,126.0,N/A,N/A,,934.0,15.0,259958.0,31296.0,8306436.0,Africa
207,Chad,7682,194.0,4874,2614,,441.0,11.0,191341.0,10988.0,17413580.0,Africa
208,British Virgin Islands,7305,64.0,N/A,N/A,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America
209,Cook Islands,7033,2.0,7030,1,,400262.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania
210,Saint Kitts and Nevis,6597,48.0,6549,0,,122459.0,891.0,126935.0,2356277.0,53871.0,North America
211,Turks and Caicos,6561,38.0,6504,19,4,165094.0,956.0,612335.0,15408143.0,39741.0,North America
212,Sao Tome and Principe,6296,77.0,6204,15,,27653.0,338.0,29036.0,127530.0,227679.0,Africa
213,Palau,5995,9.0,5985,1,,328799.0,494.0,69316.0,3801678.0,18233.0,Australia/Oceania
214,St. Barth,5441,6.0,N/A,N/A,,547109.0,603.0,78646.0,7908095.0,9945.0,North America
215,Nauru,5393,1.0,5347,45,,494635.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania
216,Kiribati,5014,18.0,2703,2293,3,40626.0,146.0,,,123419.0,Australia/Oceania
217,Anguilla,3904,12.0,3879,13,4,256336.0,788.0,51382.0,3373736.0,15230.0,North America
218,Macao,3514,121.0,3392,1,,5264.0,181.0,7850.0,11760.0,667490.0,Asia
219,Saint Pierre Miquelon,3452,2.0,2449,1001,1,599410.0,347.0,25400.0,4410488.0,5759.0,North America
220,Wallis and Futuna,3427,7.0,438,2982,,312056.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania
221,Tuvalu,2805,,,2805,,232471.0,,,,12066.0,Australia/Oceania
222,Saint Helena,2166,,2,2164,,354211.0,,,,6115.0,Africa
223,Falkland Islands,1930,,1930,0,,545352.0,,8632.0,2439107.0,3539.0,South America
224,Montserrat,1403,8.0,1376,19,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America
225,Niue,794,,791,3,,489519.0,,,,1622.0,Australia/Oceania
226,Diamond Princess,712,13.0,699,0,,,,,,,
227,Vatican City,29,,29,0,,36295.0,,,,799.0,Europe
228,Western Sahara,10,1.0,9,0,,16.0,2.0,,,626161.0,Africa
229,MS Zaandam,9,2.0,7,0,,,,,,,
230,Tokelau,5,,,5,,3628.0,,,,1378.0,Australia/Oceania
